ship_mode,segment,country,city,state,postal_code,region,category,sub-category,sales,quantity,discount,profit,profit_margin
Second Class,Consumer,United States,Henderson,Kentucky,42420,south,furniture,Bookcases,261.96,2,0.0,41.9136,0.16
Second Class,Consumer,United States,Henderson,Kentucky,42420,south,furniture,Chairs,731.94,3,0.0,219.582,0.3
Second Class,Corporate,United States,Los Angeles,California,90036,west,office supplies,Labels,14.62,2,0.0,6.8714,0.47
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,south,furniture,Tables,957.5775,5,0.45,-383.031,-0.4
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,south,office supplies,Storage,22.368,2,0.2,2.5164,0.11
Standard Class,Consumer,United States,Los Angeles,California,90032,west,furniture,Furnishings,48.86,7,0.0,14.1694,0.29
Standard Class,Consumer,United States,Los Angeles,California,90032,west,office supplies,Art,7.28,4,0.0,1.9656,0.27
Standard Class,Consumer,United States,Los Angeles,California,90032,west,technology,Phones,907.152,6,0.2,90.7152,0.1
Standard Class,Consumer,United States,Los Angeles,California,90032,west,office supplies,Binders,18.504,3,0.2,5.7825,0.31
Standard Class,Consumer,United States,Los Angeles,California,90032,west,office supplies,Appliances,114.9,5,0.0,34.47,0.3
Standard Class,Consumer,United States,Los Angeles,California,90032,west,furniture,Tables,1706.184,9,0.2,85.3092,0.05
Standard Class,Consumer,United States,Los Angeles,California,90032,west,technology,Phones,911.424,4,0.2,68.3568,0.08
Standard Class,Consumer,United States,Concord,North Carolina,28027,south,office supplies,Paper,15.552,3,0.2,5.4432,0.35
Standard Class,Consumer,United States,Seattle,Washington,98103,west,office supplies,Binders,407.976,3,0.2,132.5922,0.32
Standard Class,Home Office,United States,Fort Worth,Texas,76106,central,office supplies,Appliances,68.81,5,0.8,-123.858,-1.8
Standard Class,Home Office,United States,Fort Worth,Texas,76106,central,office supplies,Binders,2.544,3,0.8,-3.816,-1.5
Standard Class,Consumer,United States,Madison,Wisconsin,53711,central,office supplies,Storage,665.88,6,0.0,13.3176,0.02
Second Class,Consumer,United States,West Jordan,Utah,84084,west,office supplies,Storage,55.5,2,0.0,9.99,0.18
Second Class,Consumer,United States,San Francisco,California,94109,west,office supplies,Art,8.56,2,0.0,2.4824,0.29
Second Class,Consumer,United States,San Francisco,California,94109,west,technology,Phones,213.48,3,0.2,16.011,0.08
Second Class,Consumer,United States,San Francisco,California,94109,west,office supplies,Binders,22.72,4,0.2,7.384,0.32
Standard Class,Corporate,United States,Fremont,Nebraska,68025,central,office supplies,Art,19.46,7,0.0,5.0596,0.26
Standard Class,Corporate,United States,Fremont,Nebraska,68025,central,office supplies,Appliances,60.34,7,0.0,15.6884,0.26
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,east,furniture,Chairs,71.372,2,0.3,-1.0196,-0.01
Standard Class,Consumer,United States,Orem,Utah,84057,west,furniture,Tables,1044.63,3,0.0,240.2649,0.23
Second Class,Consumer,United States,Los Angeles,California,90049,west,office supplies,Binders,11.648,2,0.2,4.2224,0.36
Second Class,Consumer,United States,Los Angeles,California,90049,west,technology,Accessories,90.57,3,0.0,11.7741,0.13
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,east,furniture,Bookcases,3083.43,7,0.5,-1665.0522,-0.54
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,east,office supplies,Binders,9.618,2,0.7,-7.0532,-0.73
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,east,furniture,Furnishings,124.2,3,0.2,15.525,0.12
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,east,office supplies,Envelopes,3.264,2,0.2,1.1016,0.34
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,east,office supplies,Art,86.304,6,0.2,9.7092,0.11
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,east,office supplies,Binders,6.858,6,0.7,-5.715,-0.83
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,east,office supplies,Art,15.76,2,0.2,3.546,0.22
Second Class,Home Office,United States,Houston,Texas,77095,central,office supplies,Paper,29.472,3,0.2,9.9468,0.34
First Class,Corporate,United States,Richardson,Texas,75080,central,technology,Phones,1097.544,7,0.2,123.4737,0.11
First Class,Corporate,United States,Richardson,Texas,75080,central,furniture,Furnishings,190.92,5,0.6,-147.963,-0.78
